Accuracy,AUROC,AUPRC,max_leaf_nodes,l2_regularization,learning_rate,validation_fraction,max_iter
0.88850531107739,0.8995482393546425,0.7710702620201326,8,0.35,0.035,,25
0.9011380880121396,0.9123407731256881,0.7817080114463109,8,0.35,0.035,,50
0.9077010622154781,0.922638040399327,0.7908243609297371,8,0.35,0.035,,100
0.9088770864946889,0.9261755306043767,0.7931498125267122,8,0.35,0.035,,150
0.889339908952959,0.9122090952061017,0.7779262739009927,16,0.35,0.035,,25
0.9024279210925645,0.9215796565654854,0.7872836700509512,16,0.35,0.035,,50
0.9091426403641882,0.9271439240557895,0.7925915185783923,16,0.35,0.035,,100
0.9097496206373293,0.928805887355933,0.793659241592952,16,0.35,0.035,,150
0.890629742033384,0.9203109516831111,0.788129196782506,32,0.35,0.035,,25
0.9040971168437026,0.9253469459282682,0.7939727546771156,32,0.35,0.035,,50
0.9099013657056145,0.9282437699834523,0.7959346887671739,32,0.35,0.035,,100
0.9098254931714719,0.928944073206285,0.7957527333761162,32,0.35,0.035,,150
0.8943095599393021,0.9236662654402863,0.7937966402491965,64,0.35,0.035,,25
0.9066009104704097,0.9269447317782611,0.7968132827602477,64,0.35,0.035,,50
0.9097496206373293,0.9281115918601609,0.7952041005563764,64,0.35,0.035,,100
0.9093702579666161,0.9283182038901765,0.7943961983163423,64,0.35,0.035,,150
0.8966236722306524,0.9233002440771934,0.7923918370059898,128,0.35,0.035,,25
0.9068285280728376,0.9266845682940584,0.7945939410864634,128,0.35,0.035,,50
0.9093702579666161,0.9264795249049558,0.7915741453604269,128,0.35,0.035,,100
0.9080045523520486,0.9265815235199462,0.7912832726159251,128,0.35,0.035,,150
