Accuracy,AUROC,AUPRC,hidden_layer_sizes,early_stopping,n_layers,n_units
0.9088770864946889,0.9219280766536959,0.7872087289621058,"(64,)",True,1,64
0.9083839150227618,0.9214178410165449,0.7849077824252142,"(128,)",True,1,128
0.9085735963581183,0.9242965301530652,0.7867953968068977,"(256,)",True,1,256
0.9088391502276177,0.9237368331533048,0.7865827902960059,"(512,)",True,1,512
0.9089908952959028,0.9233927165175698,0.7903541617821551,"(64, 32)",True,2,64
0.9063732928679817,0.9220241893747609,0.7859854837366032,"(128, 64)",True,2,128
0.9084597875569044,0.9239326837139501,0.7900050640635008,"(256, 128)",True,2,256
0.9067905918057664,0.9228775109797803,0.7866560302744905,"(512, 256)",True,2,512
0.9059939301972687,0.9217470306193487,0.7872065071330896,"(64, 32, 16)",True,3,64
0.9078907435508347,0.922209768429495,0.7859578775686626,"(128, 64, 32)",True,3,128
0.9080804248861913,0.9224070762396807,0.7888025302976809,"(256, 128, 64)",True,3,256
0.9066767830045525,0.921178180177263,0.7867694451985082,"(512, 256, 128)",True,3,512
